Order,PID,MS_SubClass,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Neighborhood,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,Bsmt_Unf_SF,Total_Bsmt_SF,Central_Air,Electrical,SF_1st_Flr,SF_2nd_Flr,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Ssn3_Porch,Screen_Porch,Fence,Misc_Val,Mo_Sold,Yr_Sold,SaleCondition,SalePrice
1,526301100,20,141,31770,IR1,Lvl,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Hip,BrkFace,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,441,1080,Y,SBrkr,1656,0,1656,1,0,1,0,3,TA,7,2,Gd,Attchd,1960,Fin,2,528,TA,TA,210,62,0,0,0,NA,0,5,2010,Normal,215000
2,526350040,20,80,11622,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1961,1961,Gable,VinylSd,TA,TA,CBlock,TA,TA,No,Rec,468,270,882,Y,SBrkr,896,0,896,0,0,1,0,2,TA,5,0,NA,Attchd,1961,Unf,1,730,TA,TA,140,0,0,0,120,MnPrv,0,6,2010,Normal,105000
3,526351010,20,81,14267,IR1,Lvl,Corner,NAmes,1Fam,1Story,6,6,1958,1958,Hip,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,923,406,1329,Y,SBrkr,1329,0,1329,0,0,1,1,3,Gd,6,0,NA,Attchd,1958,Unf,1,312,TA,TA,393,36,0,0,0,NA,12500,6,2010,Normal,172000
4,526353030,20,93,11160,Reg,Lvl,Corner,NAmes,1Fam,1Story,7,5,1968,1968,Hip,BrkFace,Gd,TA,CBlock,TA,TA,No,ALQ,1065,1045,2110,Y,SBrkr,2110,0,2110,1,0,2,1,3,Ex,8,2,TA,Attchd,1968,Fin,2,522,TA,TA,0,0,0,0,0,NA,0,4,2010,Normal,244000
5,527105010,60,74,13830,IR1,Lvl,Inside,Gilbert,1Fam,2Story,5,5,1997,1998,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,GLQ,791,137,928,Y,SBrkr,928,701,1629,0,0,2,1,3,TA,6,1,TA,Attchd,1997,Fin,2,482,TA,TA,212,34,0,0,0,MnPrv,0,3,2010,Normal,189900
6,527105030,60,78,9978,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,6,1998,1998,Gable,VinylSd,TA,TA,PConc,TA,TA,No,GLQ,602,324,926,Y,SBrkr,926,678,1604,0,0,2,1,3,Gd,7,1,Gd,Attchd,1998,Fin,2,470,TA,TA,360,36,0,0,0,NA,0,6,2010,Normal,195500
7,527127150,120,41,4920,Reg,Lvl,Inside,StoneBr,TwnhsE,1Story,8,5,2001,2001,Gable,CemntBd,Gd,TA,PConc,Gd,TA,Mn,GLQ,616,722,1338,Y,SBrkr,1338,0,1338,1,0,2,0,2,Gd,6,0,NA,Attchd,2001,Fin,2,582,TA,TA,0,0,170,0,0,NA,0,4,2010,Normal,213500
8,527145080,120,43,5005,IR1,HLS,Inside,StoneBr,TwnhsE,1Story,8,5,1992,1992,Gable,HdBoard,Gd,TA,PConc,Gd,TA,No,ALQ,263,1017,1280,Y,SBrkr,1280,0,1280,0,0,2,0,2,Gd,5,0,NA,Attchd,1992,RFn,2,506,TA,TA,0,82,0,0,144,NA,0,1,2010,Normal,191500
9,527146030,120,39,5389,IR1,Lvl,Inside,StoneBr,TwnhsE,1Story,8,5,1995,1996,Gable,CemntBd,Gd,TA,PConc,Gd,TA,No,GLQ,1180,415,1595,Y,SBrkr,1616,0,1616,1,0,2,0,2,Gd,5,1,TA,Attchd,1995,RFn,2,608,TA,TA,237,152,0,0,0,NA,0,3,2010,Normal,236500
10,527162130,60,60,7500,Reg,Lvl,Inside,Gilbert,1Fam,2Story,7,5,1999,1999,Gable,VinylSd,TA,TA,PConc,TA,TA,No,Unf,0,994,994,Y,SBrkr,1028,776,1804,0,0,2,1,3,Gd,7,1,TA,Attchd,1999,Fin,2,442,TA,TA,140,60,0,0,0,NA,0,6,2010,Normal,189000
11,527163010,60,75,10000,IR1,Lvl,Corner,Gilbert,1Fam,2Story,6,5,1993,1994,Gable,HdBoard,TA,TA,PConc,Gd,TA,No,Unf,0,763,763,Y,SBrkr,763,892,1655,0,0,2,1,3,TA,7,1,TA,Attchd,1993,Fin,2,440,TA,TA,157,84,0,0,0,NA,0,4,2010,Normal,175900
12,527165230,20,,7980,IR1,Lvl,Inside,Gilbert,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,TA,Gd,PConc,Gd,TA,No,ALQ,935,233,1168,Y,SBrkr,1187,0,1187,1,0,2,0,3,TA,6,0,NA,Attchd,1992,Fin,2,420,TA,TA,483,21,0,0,0,GdPrv,500,3,2010,Normal,185000
13,527166040,60,63,8402,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,5,1998,1998,Gable,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,789,789,Y,SBrkr,789,676,1465,0,0,2,1,3,TA,7,1,Gd,Attchd,1998,Fin,2,393,TA,TA,0,75,0,0,0,NA,0,5,2010,Normal,180400
14,527180040,20,85,10176,Reg,Lvl,Inside,Gilbert,1Fam,1Story,7,5,1990,1990,Gable,HdBoard,TA,TA,PConc,Gd,TA,Gd,GLQ,637,663,1300,Y,SBrkr,1341,0,1341,1,0,1,1,2,Gd,5,1,Po,Attchd,1990,Unf,2,506,TA,TA,192,0,0,0,0,NA,0,2,2010,Normal,171500
15,527182190,120,,6820,IR1,Lvl,Corner,StoneBr,TwnhsE,1Story,8,5,1985,1985,Gable,HdBoard,Gd,TA,PConc,Gd,TA,Av,GLQ,368,0,1488,Y,SBrkr,1502,0,1502,1,0,1,1,1,Gd,4,0,NA,Attchd,1985,RFn,2,528,TA,TA,0,54,0,0,140,NA,0,6,2010,Normal,212000
16,527216070,60,47,53504,IR2,HLS,CulDSac,StoneBr,1Fam,2Story,8,5,2003,2003,Hip,CemntBd,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416,234,1650,Y,SBrkr,1690,1589,3279,1,0,3,1,4,Ex,12,1,Gd,BuiltIn,2003,Fin,3,841,TA,TA,503,36,0,0,210,NA,0,6,2010,Normal,538000
17,527225035,50,152,12134,IR1,Bnk,Inside,Gilbert,1Fam,1.5Fin,8,7,1988,2005,Gable,Wd Sdng,Gd,TA,Wood,Gd,TA,Av,GLQ,427,132,559,Y,SBrkr,1080,672,1752,0,0,2,0,4,TA,8,0,NA,Basment,1988,RFn,2,492,TA,TA,325,12,0,0,0,NA,0,6,2010,Normal,164000
18,527258010,20,88,11394,Reg,Lvl,Corner,StoneBr,1Fam,1Story,9,2,2010,2010,Hip,VinylSd,Gd,TA,PConc,Ex,TA,Av,GLQ,1445,411,1856,Y,SBrkr,1856,0,1856,1,0,1,1,1,Ex,8,1,Ex,Attchd,2010,Fin,3,834,TA,TA,113,0,0,0,0,NA,0,6,2010,Partial,394432
19,527276150,20,140,19138,Reg,Lvl,Corner,Gilbert,1Fam,1Story,4,5,1951,1951,Gable,VinylSd,TA,TA,CBlock,TA,TA,No,LwQ,120,744,864,Y,SBrkr,864,0,864,0,0,1,0,2,TA,4,0,NA,Detchd,1951,Unf,2,400,TA,TA,0,0,0,0,0,NA,0,6,2010,Normal,141000
20,527302110,20,85,13175,Reg,Lvl,Inside,NWAmes,1Fam,1Story,6,6,1978,1988,Gable,Plywood,TA,TA,CBlock,Gd,TA,No,ALQ,790,589,1542,Y,SBrkr,2073,0,2073,1,0,2,0,3,TA,7,2,TA,Attchd,1978,Unf,2,500,TA,TA,349,0,0,0,0,MnPrv,0,2,2010,Normal,210000
21,527358140,20,105,11751,IR1,Lvl,Inside,NWAmes,1Fam,1Story,6,6,1977,1977,Hip,Plywood,TA,TA,CBlock,Gd,TA,No,BLQ,705,1139,1844,Y,SBrkr,1844,0,1844,0,0,2,0,3,TA,7,1,TA,Attchd,1977,RFn,2,546,TA,TA,0,122,0,0,0,MnPrv,0,1,2010,Normal,190000
22,527358200,85,85,10625,Reg,Lvl,Inside,NWAmes,1Fam,SFoyer,7,6,1974,1974,Gable,Plywood,TA,TA,CBlock,Gd,TA,Gd,GLQ,885,0,1053,Y,SBrkr,1173,0,1173,1,0,2,0,3,Gd,6,2,TA,Attchd,1974,RFn,2,528,TA,TA,0,120,0,0,0,MnPrv,0,1,2010,Family,170000
23,527368020,60,,7500,Reg,Lvl,Inside,Somerst,1Fam,2Story,7,5,2000,2000,Gable,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,533,281,814,Y,SBrkr,814,860,1674,1,0,2,1,3,Gd,7,0,NA,Attchd,2000,RFn,2,663,TA,TA,0,96,0,0,0,NA,0,1,2010,Normal,216000
24,527402200,20,,11241,IR1,Lvl,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,578,426,1004,Y,SBrkr,1004,0,1004,1,0,1,0,2,TA,5,1,TA,Attchd,1970,Fin,2,480,TA,TA,0,0,0,0,0,NA,700,3,2010,Normal,149000
25,527402250,20,,12537,IR1,Lvl,CulDSac,NAmes,1Fam,1Story,5,6,1971,2008,Gable,VinylSd,TA,TA,CBlock,TA,TA,No,GLQ,734,344,1078,Y,SBrkr,1078,0,1078,1,0,1,1,3,TA,6,1,Fa,Attchd,1971,Fin,2,500,TA,TA,0,0,0,0,0,NA,0,4,2010,Normal,149900
26,527403020,20,65,8450,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,6,1968,1968,Gable,VinylSd,TA,TA,CBlock,TA,TA,No,BLQ,775,281,1056,Y,SBrkr,1056,0,1056,1,0,1,0,3,TA,6,1,Fa,Attchd,1968,Unf,1,304,TA,TA,0,85,184,0,0,NA,0,7,2010,Normal,142000
27,527404120,20,70,8400,Reg,Lvl,Corner,NAmes,1Fam,1Story,4,5,1970,1970,Gable,Plywood,TA,TA,CBlock,TA,TA,No,ALQ,804,0,882,Y,SBrkr,882,0,882,1,0,1,0,2,TA,4,0,NA,Attchd,1970,Fin,2,525,TA,TA,240,0,0,0,0,MnPrv,0,4,2010,Normal,126000
28,527425090,20,70,10500,Reg,Lvl,FR2,NAmes,1Fam,1Story,4,5,1971,1971,Gable,HdBoard,TA,TA,CBlock,TA,TA,No,ALQ,432,432,864,Y,SBrkr,864,0,864,0,0,1,0,3,TA,5,1,Po,NA,,NA,0,0,NA,NA,0,0,0,0,0,NA,0,4,2010,Normal,115000
29,527427230,120,26,5858,IR1,Lvl,FR2,NAmes,TwnhsE,1Story,7,5,1999,1999,Gable,MetalSd,Gd,TA,PConc,Gd,TA,No,GLQ,1051,354,1405,Y,SBrkr,1337,0,1337,1,0,2,0,2,Gd,5,1,Fa,Attchd,1999,Fin,2,511,TA,TA,203,68,0,0,0,NA,0,6,2010,Normal,184000
30,527451180,160,21,1680,Reg,Lvl,Inside,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,TA,TA,CBlock,TA,TA,No,Rec,156,327,483,Y,SBrkr,483,504,987,0,0,1,1,2,TA,5,0,NA,Detchd,1971,Unf,1,264,TA,TA,275,0,0,0,0,NA,0,2,2010,Normal,96000
